,Home,Away,H_Shots,A_Shots,H_Shots_on_target,A_Shots_on_target,H_Pass_Success,A_Pass_Success,H_Aerial_Duel_Success,A_Aerial_Duel_Success,H_Dribbles_won,A_Dribbles_won,H_Tackles,A_Tackles,H_Possesion,A_Possesion,H_Score,A_Score
189,Eintracht Frankfurt,Nuernberg,9,11,2,6,0.79,0.73,0.5,0.5,6,11,19,10,0.61,0.39,0,0
190,Hannover 96,Hoffenheim,7,16,3,9,0.68,0.8,0.45,0.55,3,14,23,15,0.43,0.57,1,0
191,Hamburger SV,Borussia,8,8,2,2,0.68,0.63,0.63,0.37,11,7,22,24,0.52,0.48,1,0
192,Hoffenheim,VfB Stuttgart,14,10,3,3,0.77,0.66,0.68,0.32,20,12,21,32,0.62,0.38,0,1
193,Nuernberg,Hannover 96,16,10,5,5,0.78,0.66,0.64,0.36,9,8,6,24,0.57,0.43,2,2
194,Werder Bremen,Freiburg,16,17,3,10,0.79,0.7,0.42,0.58,10,14,21,22,0.51,0.49,2,3
195,Bayer Leverkusen,Augsburg,15,16,6,4,0.78,0.81,0.54,0.46,15,13,20,22,0.51,0.49,2,1
196,Fortuna,Greuther Fuerth,15,8,9,2,0.8,0.8,0.61,0.39,11,7,27,23,0.46,0.54,1,0
197,Borussia Dortmund,Eintracht Frankfurt,14,10,5,2,0.79,0.85,0.37,0.63,6,10,26,24,0.42,0.58,3,0
198,Borussia,Borussia Dortmund,5,15,3,4,0.66,0.79,0.49,0.51,10,7,19,20,0.4,0.6,1,1
199,Greuther Fuerth,Bayer Leverkusen,10,22,4,11,0.7,0.79,0.5,0.5,13,14,28,24,0.39,0.61,0,0
200,Mainz 05,Wolfsburg,14,5,2,3,0.81,0.7,0.36,0.64,13,3,22,24,0.61,0.39,1,1
201,Hannover 96,Hamburger SV,14,23,7,12,0.59,0.81,0.38,0.62,3,17,19,20,0.36,0.64,5,1
202,Bayern Munich,Werder Bremen,14,12,8,3,0.9,0.71,0.69,0.31,4,8,18,23,0.73,0.27,6,1
203,Freiburg,Eintracht Frankfurt,8,8,6,1,0.74,0.68,0.45,0.55,15,5,19,28,0.5,0.5,0,0
204,VfB Stuttgart,Nuernberg,15,10,8,2,0.71,0.82,0.44,0.56,9,16,16,16,0.41,0.59,1,1
205,Schalke 04,Fortuna,18,5,7,1,0.86,0.72,0.43,0.57,4,6,25,26,0.61,0.39,2,1
206,Augsburg,Hoffenheim,20,7,3,2,0.72,0.62,0.48,0.52,13,13,31,16,0.58,0.42,2,1
207,Hoffenheim,Bayern Munich,9,19,3,7,0.7,0.86,0.58,0.42,9,18,36,19,0.35,0.65,0,1
208,Wolfsburg,Schalke 04,8,13,4,7,0.8,0.73,0.42,0.58,18,25,36,29,0.58,0.42,1,4
209,Eintracht Frankfurt,Borussia,14,11,2,2,0.81,0.67,0.53,0.47,10,9,19,25,0.65,0.35,0,1
210,Bayer Leverkusen,VfB Stuttgart,30,5,8,4,0.84,0.67,0.6,0.4,23,7,22,38,0.71,0.29,2,1
211,Borussia Dortmund,Hannover 96,23,6,6,2,0.84,0.75,0.45,0.55,16,8,27,25,0.58,0.42,3,1
212,Nuernberg,Freiburg,11,14,4,4,0.63,0.77,0.54,0.46,15,11,31,25,0.39,0.61,1,1
213,Fortuna,Mainz 05,13,5,3,3,0.72,0.79,0.62,0.38,10,12,35,25,0.4,0.6,1,1
214,Werder Bremen,Augsburg,17,12,3,5,0.76,0.69,0.43,0.57,14,12,22,14,0.59,0.41,0,1
215,Hamburger SV,Greuther Fuerth,18,6,8,2,0.8,0.6,0.57,0.43,15,8,28,20,0.67,0.33,1,1
216,Schalke 04,Borussia Dortmund,20,16,10,3,0.7,0.81,0.44,0.56,16,9,33,29,0.39,0.61,2,1
217,Mainz 05,Bayer Leverkusen,8,17,1,4,0.77,0.74,0.48,0.52,9,9,30,19,0.48,0.52,1,0
218,Freiburg,Wolfsburg,16,15,6,11,0.82,0.77,0.36,0.64,20,6,17,32,0.61,0.39,2,5
219,Borussia,Werder Bremen,10,16,5,4,0.81,0.76,0.54,0.46,14,11,16,17,0.56,0.44,1,1
220,Greuther Fuerth,Hoffenheim,11,12,4,5,0.71,0.68,0.49,0.51,10,19,25,18,0.5,0.5,0,3
221,Augsburg,Nuernberg,12,6,3,2,0.8,0.56,0.52,0.48,10,4,16,19,0.65,0.35,1,2
222,Hoffenheim,Mainz 05,12,7,3,2,0.75,0.75,0.58,0.42,6,8,27,26,0.54,0.46,0,0
223,Hamburger SV,Augsburg,17,6,5,1,0.81,0.55,0.68,0.32,20,2,15,13,0.68,0.32,0,1
224,Werder Bremen,Greuther Fuerth,18,9,8,3,0.79,0.58,0.48,0.52,13,11,13,19,0.61,0.39,2,2
225,Wolfsburg,Fortuna,18,9,6,3,0.87,0.69,0.61,0.39,18,12,22,28,0.71,0.29,1,1
226,VfB Stuttgart,Hamburger SV,13,12,7,3,0.66,0.76,0.42,0.58,19,11,24,18,0.46,0.54,0,1
227,VfB Stuttgart,Borussia Dortmund,12,16,5,6,0.67,0.79,0.47,0.53,14,6,35,33,0.4,0.6,1,2
228,Hannover 96,Eintracht Frankfurt,7,11,3,2,0.76,0.83,0.5,0.5,8,8,19,9,0.46,0.54,0,0
229,Bayern Munich,Fortuna,24,4,11,2,0.88,0.7,0.72,0.28,16,6,18,30,0.74,0.26,3,2
230,Bayer Leverkusen,Bayern Munich,13,15,2,2,0.72,0.84,0.49,0.51,8,16,25,25,0.42,0.58,1,2
231,Nuernberg,Schalke 04,12,15,8,5,0.68,0.83,0.6,0.4,15,17,30,21,0.35,0.65,3,0
232,Eintracht Frankfurt,VfB Stuttgart,14,11,4,3,0.78,0.74,0.57,0.43,13,10,20,23,0.55,0.45,1,2
233,Borussia,Hannover 96,11,14,4,5,0.8,0.72,0.51,0.49,8,4,9,14,0.55,0.45,1,0
234,Borussia Dortmund,Freiburg,21,6,11,2,0.82,0.69,0.56,0.44,22,11,24,23,0.62,0.38,5,1
235,Hoffenheim,Fortuna,17,15,8,4,0.74,0.7,0.4,0.6,22,20,29,42,0.47,0.53,3,0
